===Act Controller Alarm Table File===
;ID,Group-Code,Comment
142,001-142,Alarm_Comment_142
143,001-143,Alarm_Comment_143
144,001-144,电机回转数超过设定值
145,001-145,动力电源电压在设定范围外
146,001-146,控制器温度超过规定值
147,001-147,控制电源在设定范围外
148,001-148,一定时间内流过较大电流
149,001-149,超出规定时间到达目标位置
150,001-150,通信时发生异常
151,001-151,与绝对式编码器通信异常
152,001-152,绝对式编码器发生异常
153,001-153,Alarm_Comment_153
154,001-154,Alarm_Comment_154
155,001-155,Alarm_Comment_155
156,001-156,Alarm_Comment_156
157,001-157,Alarm_Comment_157
158,001-158,Alarm_Comment_158
159,001-159,Alarm_Comment_159
160,001-160,Alarm_Comment_160
161,001-161,Alarm_Comment_161
162,001-162,Alarm_Comment_162
163,001-163,Alarm_Comment_163
164,001-164,Alarm_Comment_164
165,001-165,Alarm_Comment_165
166,001-166,Alarm_Comment_166
167,001-167,Alarm_Comment_167
168,001-168,Alarm_Comment_168
169,001-169,Alarm_Comment_169
170,001-170,Alarm_Comment_170
171,001-171,Alarm_Comment_171
172,001-172,Alarm_Comment_172
173,001-173,Alarm_Comment_173
174,001-174,Alarm_Comment_174
175,001-175,Alarm_Comment_175
176,001-176,Alarm_Comment_176
177,001-177,Alarm_Comment_177
178,001-178,Alarm_Comment_178
179,001-179,Alarm_Comment_179
180,001-180,Alarm_Comment_180
181,001-181,Alarm_Comment_181
182,001-182,Alarm_Comment_182
183,001-183,Alarm_Comment_183
184,001-184,Alarm_Comment_184
185,001-185,Alarm_Comment_185
186,001-186,Alarm_Comment_186
187,001-187,Alarm_Comment_187
188,001-188,Alarm_Comment_188
189,001-189,Alarm_Comment_189
190,001-190,Alarm_Comment_190
191,001-191,Alarm_Comment_191
192,001-192,编码器异常
193,001-193,设定时间内未检出相位
194,001-194,输出电流异常高
195,001-195,电流传感器异常
196,001-196,偏差计数器溢出
197,001-197,内存内容异常
198,001-198,CPU异常作动
199,001-199,现在位置数据溢出
200,001-200,ABS电池未达到基准电压
201,001-201,Alarm_Comment_201
202,001-202,Alarm_Comment_202
203,001-203,Alarm_Comment_203
204,001-204,Alarm_Comment_204
205,001-205,Alarm_Comment_205
206,001-206,Alarm_Comment_206
207,001-207,Alarm_Comment_207
208,001-208,Alarm_Comment_208
209,001-209,Alarm_Comment_209
210,001-210,Alarm_Comment_210
211,001-211,Alarm_Comment_211
212,001-212,Alarm_Comment_212
213,001-213,Alarm_Comment_213
214,001-214,Alarm_Comment_214
215,001-215,Alarm_Comment_215
216,001-216,Alarm_Comment_216
217,001-217,Alarm_Comment_217
218,001-218,Alarm_Comment_218
219,001-219,Alarm_Comment_219
220,001-220,Alarm_Comment_220
221,001-221,Alarm_Comment_221
222,001-222,Alarm_Comment_222
223,001-223,Alarm_Comment_223
224,001-224,Alarm_Comment_224
225,001-225,Alarm_Comment_225
226,001-226,Alarm_Comment_226
227,001-227,Alarm_Comment_227
228,001-228,Alarm_Comment_228
229,001-229,Alarm_Comment_229
230,001-230,Alarm_Comment_230
231,001-231,Alarm_Comment_231
232,001-232,Alarm_Comment_232
233,001-233,Alarm_Comment_233
234,001-234,Alarm_Comment_234
235,001-235,Alarm_Comment_235
236,001-236,Alarm_Comment_236
237,001-237,Alarm_Comment_237
238,001-238,Alarm_Comment_238
239,001-239,Alarm_Comment_239
240,001-240,Alarm_Comment_240
241,001-241,Alarm_Comment_241
242,001-242,Alarm_Comment_242
243,001-243,Alarm_Comment_243
244,001-244,Alarm_Comment_244
245,001-245,Alarm_Comment_245
246,001-246,Alarm_Comment_246
247,001-247,Alarm_Comment_247
248,001-248,Alarm_Comment_248
249,001-249,Alarm_Comment_249
250,001-250,Alarm_Comment_250
251,001-251,Alarm_Comment_251
252,001-252,Alarm_Comment_252
253,001-253,Alarm_Comment_253
254,001-254,Alarm_Comment_254
255,001-255,Alarm_Comment_255
